,mot_chinois,sent_chinois,sent_fr,mot_fr
367,风调雨顺,知道了那个只有一个太阳、永远处于恒纪元中的世界，知道了在永远风调雨顺的天堂中诞生的人类文明。,Il apprit que la Terre vivait dans une ère régulière éternelle et que ce paradis au climat toujours stable avait donné naissance à la civilisation humaine.,au climat toujours stable
368,沸腾蒸发,地球美丽的大陆开始燃烧，蔚蓝的海洋沸腾蒸发……,"Les si beaux continents terriens commençaient à s'embraser, l'eau bleu marine des océans se mettait à bouillir et à s'évaporer à cause de la chaleur…",se mettait à bouillir et à s'évaporer à cause de la chaleur
369,毫不犹豫,毫不犹豫地，,"Sans la moindre hésitation, ",Sans la moindre hésitation
370,绚丽无比,“那花朵虽然娇弱但是绚丽无比。,"C'est une fleur fragile, mais elle est d'une splendeur sans égale.",une splendeur sans égale
371,毫无疑问,毫无疑问你是有罪的。,"Tu es coupable, sans aucun doute.",sans aucun doute
372,例行公事,对他，元首也避免了恼怒，只是例行公事而已。,"Le chancelier évita aussi de s'énerver contre lui, ce n'était qu'une affaire de routine.",une affaire de routine
373,弄巧成拙,"不，这更有可能弄巧成拙。
","Non, cela ne ferait qu'empirer les choses.",empirer les choses
374,迷惑不解,元首选定这个会址，令大多数与会者迷惑不解。,Le choix du lieu pour cette réunion avait plongé la plupart des consuls dans la perplexité.,dans la perplexité
375,气势磅礴,巨大的金属摆气势磅礴地摆动着，冲击着寒冷的空气，天边的小太阳把它的影子长长地投射到大地上，像一个顶天立地的巨人在行走。,"L'énorme balancier métallique du pendule oscillait majestueusement, fendant l'air glacial, tandis que le petit soleil projetait de longues ombres sur le sol, comme si un géant à la silhouette imposante était en train de le fouler à grandes enjambées.",oscillait majestueusement
376,顶天立地,巨大的金属摆气势磅礴地摆动着，冲击着寒冷的空气，天边的小太阳把它的影子长长地投射到大地上，像一个顶天立地的巨人在行走。,"L'énorme balancier métallique du pendule oscillait majestueusement, fendant l'air glacial, tandis que le petit soleil projetait de longues ombres sur le sol, comme si un géant à la silhouette imposante était en train de le fouler à grandes enjambées.", grandes enjambées.
377,众目睽睽,众目睽睽之下，元首走上巨摆的基座，扳动了一个红色的开关，转身对执政官们说：,"Sous les yeux de la foule, le chancelier marcha jusqu'au socle du pendule, pressa un interrupteur rouge, puis il se tourna vers les consuls :",Sous les yeux de la foule
378,不堪一击,到那时，三体舰队在地球文明面前将不堪一击。,La flotte sera alors à la merci des ripostes terriennes.,à la merci
379,简而言之,"“智子工程，简而言之就是把一个质子改造成一台超级智能计算机。”科学执政官说。
","Pour le résumer en quelques mots, le projet Intellectron consiste à transformer un proton en un ordinateur super-intelligent, commença le consul de la science.
",Pour le résumer en quelques mots
380,时光飞逝,"
时光飞逝。
","Le temps fila.
",Le temps fila
381,转瞬即逝,转瞬即逝，出没不定,des éclairs filamenteux et fugaces qui disparaissaient aussi vite qu'ils étaient apparus.,des éclairs filamenteux et fugaces
382,难以想象,它们的质量虽然令人难以想象的微小，,"
Bien que leur masse soit incroyablement faible,
",incroyablement
383,闪烁不定,几何体反射的阳光使地面的亮度增加了一倍，且闪烁不定。,Les reflets du soleil sur les formes géométriques doublèrent l'intensité lumineuse de la surface et elles se mirent à scintiller., elles se mirent à scintiller
384,时隐时现,巨摆的影子在这投到地而的天光中时隐时现，左右摇摆。,"L'ombre colossale du pendule apparaissait et disparaissait sans cesse, clignotant un coup à gauche, un coup à droite.",clignotant 
385,左右摇摆,巨摆的影子在这投到地而的天光中时隐时现，左右摇摆。,"L'ombre colossale du pendule apparaissait et disparaissait sans cesse, clignotant un coup à gauche, un coup à droite.","un coup à gauche, un coup à droite"
386,愈演愈烈,这种变形愈演愈烈，变化的形状越来越纷乱复杂。,"Ces mutations devinrent de plus en plus soudaines, et les formes de plus en plus sophistiquées.",de plus en plus soudaines
387,纷乱复杂,这种变形愈演愈烈，变化的形状越来越纷乱复杂。,"Ces mutations devinrent de plus en plus soudaines, et les formes de plus en plus sophistiquées.",sophistiquées
388,变幻莫测,"但其本身表面的色彩却更加怪异和变幻莫测。
",mais les couleurs à leur surface étaient devenues encore plus étranges et imprévisibles.,imprévisibles
389,不可思议,“宏大这种词用在质子这样的微观物上，我总觉得不可思议。”元首说。,"Incroyable qu'on puisse utiliser un tel mot pour qualifier une particule aussi petite que le proton, dit le chancelier.",Incroyable 
390,自顾自地,科学执政官没有理会元首，自顾自地说下去：,"Le consul de la science ignora le chancelier et continua à parler, comme pour lui-même :",comme pour lui-même
391,急剧上升,“在更高维度上，粒子内部的复杂程度和结构数量急剧上升。,"— Si nous passons à une dimension plus haute, le degré de complexité et le nombre de structures internes dans la particule augmenteront considérablement.",augmenteront considérablement
392,顶天立地,他们抬头首先看到的是一根顶天立地的光柱，,"En levant la tête, ils virent un pilier irradiant qui partait du sol et montait jusqu'au ciel, ",qui partait du sol et montait jusqu'au ciel
393,闭口不提,“你闭口不提真正的危险！,Vous lui cachez le véritable danger !,cachez
394,多愁善感,您不会为此多愁善感起来吧？,Seriez-vous donc tristes pour elles ?, tristes
395,面目全非,这时仍有阳光照进已弯曲成曲面的平面质子内，可以看到三体世界的映像在太空中的宇宙哈哈镜里己变得面目全非。,Des rayons solaires pénétrèrent encore un certain temps à l'intérieur de la courbe plane du proton et on ne reconnaissait déjà plus le monde de Trisolaris sur le miroir déformant de l'espace.,ne reconnaissait déjà plus le monde
396,无处躲藏,这个世界已经无处躲藏。,le monde n'avait plus nulle part où se cacher.,n'avait plus nulle part où se cacher.
397,有生之年,在所有与会者的有生之年，,"pour le restant de la vie de tous les participants à cette réunion,
",pour le restant de la vie
398,胜负未定,现在仍然胜负未定。,Mais cette guerre dure depuis le début de l'histoire et les hommes n'ont toujours pas remporté la victoire., n'ont toujours pas remporté la victoire
399,毫不怜惜,她在毫不怜惜地消耗着自己已不可再生的生命力。,Elle semblait avoir épuisé sans le moindre scrupule une vitalité qui ne se renouvellerait pas.,sans le moindre scrupule 
400,不可再生,她在毫不怜惜地消耗着自己已不可再生的生命力。,Elle semblait avoir épuisé sans le moindre scrupule une vitalité qui ne se renouvellerait pas.,une vitalité qui ne se renouvellerait pas.
